Fuel_Type,Kilometers_Driven,Transmission_Type,No_of_Owners,Manufactured_By,Car_Model,Car_Produced_Year,Car_Price,Registration_Year,No_of_Seats,Engine_CC,Mileage(kmpl),Location,Car_Age
Petrol,70000,Automatic,3,Toyota,Toyota Camry,2014,975000.0,2014,5,2494,19.16,Kolkata,10
Petrol,23981,Manual,1,Datsun,Datsun RediGO,2017,266000.0,2017,5,799,22.7,Kolkata,7
Petrol,7100,Automatic,1,Renault,Renault Kiger,2021,595000.0,2021,5,999,19.03,Kolkata,3
Petrol,71574,Manual,2,Hyundai,Hyundai i20,2011,223000.0,2012,5,1197,17.0,Kolkata,13
Diesel,50000,Automatic,2,Audi,Audi Q3,2014,1200000.0,2014,5,1968,15.73,Kolkata,10
Petrol,35629,Automatic,1,Maruti,Maruti Wagon R,2018,425000.0,2018,5,1197,20.52,Kolkata,6
Petrol,11476,Automatic,2,Hyundai,Hyundai Santro,2020,596000.0,2020,5,1086,20.3,Kolkata,4
Petrol,31000,Manual,1,Renault,Renault KWID,2018,250000.0,2018,5,799,25.17,Kolkata,6
Petrol,41005,Manual,2,Maruti,Maruti Swift Dzire,2011,221000.0,2011,5,1298,17.5,Kolkata,13
Petrol,60055,Manual,1,Maruti,Maruti Wagon R,2010,208000.0,2010,5,998,18.9,Kolkata,14
Petrol,65005,Manual,1,Maruti,Maruti Swift,2013,311000.0,2013,5,1197,18.6,Kolkata,11
Petrol,2657,Manual,1,Renault,Renault KWID,2022,463999.99999999994,2022,5,799,22.3,Kolkata,2
Petrol,16000,Manual,1,Hyundai,Hyundai i10,2011,204999.99999999997,2011,5,1086,19.81,Kolkata,13
Diesel,7426,Automatic,1,Tata,Tata Harrier,2023,2175000.0,2023,5,1956,14.6,Kolkata,1
Petrol,27046,Automatic,1,Maruti,Maruti Baleno,2018,643000.0,2018,5,1197,21.4,Kolkata,6
Diesel,30100,Automatic,1,Toyota,Toyota Fortuner,2021,3750000.0,2021,7,2755,15.04,Kolkata,3
Petrol,9000,Manual,1,Maruti,Maruti Wagon R,2022,545000.0,2022,5,998,24.35,Kolkata,2
Petrol,17000,Manual,1,Hyundai,Hyundai i20,2022,750000.0,2022,5,1197,21.0,Kolkata,2
Diesel,49200,Automatic,1,Jeep,Jeep Compass,2021,1650000.0,2021,5,1956,17.1,Kolkata,3
Petrol,35000,Manual,2,Hyundai,Hyundai i10,2009,225000.0,2009,5,1086,19.81,Kolkata,15
Diesel,30000,Automatic,2,Land Rover,Land Rover Range Rover Evoque,2020,5990000.0,2020,5,1999,19.0,Kolkata,4
Petrol,54044,Manual,1,Maruti,Maruti Alto K10,2017,315000.0,2017,5,998,23.95,Kolkata,7
Petrol,6500,Manual,1,Tata,Tata Nexon,2021,799000.0,2021,5,1199,17.33,Kolkata,3
Petrol,29159,Manual,1,Maruti,Maruti Ciaz,2017,526000.0,2017,5,1373,20.73,Kolkata,7
Petrol,31968,Automatic,1,Honda,Honda City,2016,675000.0,2016,5,1497,18.0,Kolkata,8
Petrol,44150,Manual,2,Hyundai,Hyundai Grand i10 Nios,2019,612000.0,2019,5,1197,20.7,Kolkata,5
Petrol,60000,Manual,1,Hyundai,Hyundai i20,2010,189000.0,2010,5,1197,17.0,Kolkata,14
Petrol,25009,Automatic,1,Hyundai,Hyundai Creta,2018,990000.0,2018,5,1591,14.8,Kolkata,6
Petrol,46469,Manual,1,Maruti,Maruti Swift,2020,534000.0,2020,5,1197,22.38,Kolkata,4
Petrol,45000,Manual,1,Hyundai,Hyundai Creta,2018,800000.0,2018,5,1591,13.0,Kolkata,6
Petrol,31577,Manual,1,Hyundai,Hyundai Verna,2020,983000.0,2020,5,1497,17.7,Kolkata,4
Petrol,56005,Automatic,1,Maruti,Maruti Celerio,2014,281000.0,2014,5,998,23.1,Kolkata,10
Petrol,10005,Manual,1,Maruti,Maruti Wagon R,2021,535000.0,2021,5,998,21.79,Kolkata,3
Petrol,41163,Manual,1,Hyundai,Hyundai Grand i10,2017,475000.0,2017,5,1197,18.9,Kolkata,7
Diesel,17839,Automatic,1,Mercedes-Benz,Mercedes-Benz E-Class,2020,5300000.0,2020,5,1950,16.1,Kolkata,4
Petrol,3800,Manual,1,Toyota,Toyota Yaris,2019,695000.0,2019,5,1496,17.1,Kolkata,5
Petrol,34124,Manual,1,Maruti,Maruti Wagon R,2018,395000.0,2018,5,998,21.79,Kolkata,6
Diesel,50000,Manual,2,Hyundai,Hyundai i20,2012,200000.0,2012,5,1396,21.9,Kolkata,12
Petrol,48168,Manual,1,Honda,Honda City,2018,750000.0,2018,5,1497,17.4,Kolkata,6
Diesel,20000,Manual,3,Mahindra,Mahindra Marazzo,2019,975000.0,2019,8,1497,17.3,Kolkata,5
Petrol,56357,Manual,1,Maruti,Maruti Swift Dzire,2018,480000.0,2018,5,1197,19.0,Kolkata,6
Petrol,60000,Manual,1,Maruti,Maruti Swift Dzire,2010,245000.00000000003,2010,5,1298,17.5,Kolkata,14
Petrol,10585,Manual,1,Maruti,Maruti Baleno,2022,719000.0,2022,5,1197,21.01,Kolkata,2
Petrol,50000,Automatic,2,Honda,Honda Civic,2012,375000.0,2012,5,1799,13.1,Kolkata,12
Petrol,17642,Manual,1,Hyundai,Hyundai Creta,2020,1214000.0,2020,5,1497,14.0,Kolkata,4
Diesel,20000,Manual,1,Tata,Tata Tiago,2018,438999.99999999994,2018,5,1047,27.28,Kolkata,6
Petrol,9157,Manual,1,Hyundai,Hyundai Grand i10 Nios,2021,753000.0,2021,5,1197,20.7,Kolkata,3
Petrol,65979,Manual,2,Honda,Honda Amaze,2016,362000.0,2016,5,1198,18.0,Kolkata,8
Diesel,65000,Manual,1,Skoda,Skoda Rapid,2014,300000.0,2014,5,1598,20.5,Kolkata,10
Petrol,7940,Manual,2,Datsun,Datsun RediGO,2020,389000.0,2020,5,999,22.5,Kolkata,4
Petrol,100000,Manual,4,Hyundai,Hyundai Santro Xing,2010,114999.99999999999,2010,5,1086,10.0,Kolkata,14
Diesel,40000,Automatic,1,BMW,BMW 3 Series,2011,865000.0,2011,5,1995,16.07,Kolkata,13
Petrol,60000,Manual,2,Fiat,Fiat Linea,2011,185000.0,2011,5,1368,14.6,Kolkata,13
Diesel,19859,Automatic,1,BMW,BMW 5 Series,2019,3950000.0,2019,5,1995,20.37,Kolkata,5
Petrol,7405,Automatic,1,Jeep,Jeep Wrangler,2023,6250000.0,2023,5,1998,12.1,Kolkata,1
Petrol,52922,Manual,1,Honda,Honda BR-V,2016,620000.0,2016,7,1497,15.4,Kolkata,8
Petrol,60000,Manual,1,Ford,Ford Ecosport,2015,350000.0,2015,5,1499,15.85,Kolkata,9
Petrol,32000,Manual,1,Hyundai,Hyundai Grand i10,2019,463999.99999999994,2019,5,1197,18.9,Kolkata,5
Petrol,47739,Manual,2,Honda,Honda Jazz,2017,412000.0,2017,5,1199,18.7,Kolkata,7
Petrol,10717,Automatic,2,Maruti,Maruti Alto K10,2019,375000.0,2019,5,998,23.95,Kolkata,5
Diesel,41000,Manual,1,Honda,Honda City,2015,621000.0,2015,5,1498,25.1,Kolkata,9
Petrol,17619,Manual,2,Hyundai,Hyundai Santro,2020,443000.0,2020,5,1086,20.3,Kolkata,4
Petrol,9221,Manual,1,Renault,Renault KWID,2021,422000.0,2021,5,999,21.74,Kolkata,3
Petrol,70000,Manual,1,Honda,Honda WR-V,2019,550000.0,2019,5,1199,17.5,Kolkata,5
Petrol,10519,Manual,1,Maruti,Maruti Swift,2019,545000.0,2019,5,1197,22.38,Kolkata,5
Petrol,50000,Manual,2,Hyundai,Hyundai Verna,2014,450000.0,2014,5,1591,17.1,Kolkata,10
Cng,19907,Manual,1,Maruti,Maruti Celerio,2022,597000.0,2022,5,998,35.6,Kolkata,2
Petrol,84771,Manual,2,Maruti,Maruti Swift,2015,330000.0,2015,5,1197,22.38,Kolkata,9
Petrol,7000,Automatic,2,Honda,Honda Brio,2015,595000.0,2015,5,1198,16.5,Kolkata,9
Petrol,50000,Manual,1,Honda,Honda City,2017,500000.0,2017,5,1497,17.4,Kolkata,7
Diesel,52000,Automatic,1,Audi,Audi A6,2013,1075000.0,2013,5,1968,17.68,Kolkata,11
Petrol,15407,Manual,1,Tata,Tata Nexon,2021,835000.0,2021,5,1199,17.33,Kolkata,3
Petrol,50000,Manual,2,Hyundai,Hyundai i10,2009,175000.0,2009,5,1197,20.36,Kolkata,15
Petrol,80000,Manual,1,Hindustan Motors,Ambassador,1985,495000.0,1985,8,1817,12.8,Kolkata,39
Petrol,58000,Manual,1,Honda,Honda City,2017,550000.0,2017,5,1497,17.4,Kolkata,7
Petrol,14000,Manual,1,Hyundai,Hyundai Verna,2021,1025000.0,2021,5,1497,17.7,Kolkata,3
Petrol,80000,Manual,3,Hyundai,Hyundai Elantra,2014,350000.0,2014,5,1797,16.3,Kolkata,10
Petrol,45000,Manual,1,Hyundai,Hyundai Elantra,2017,775000.0,2017,5,1999,14.59,Kolkata,7
Petrol,119236,Manual,1,Maruti,Maruti Swift Dzire,2014,306000.0,2014,5,1197,22.41,Kolkata,10
Petrol,98074,Manual,1,Maruti,Maruti Baleno,2016,432000.0,2016,5,1197,21.4,Kolkata,8
Diesel,40330,Automatic,1,Mercedes-Benz,Mercedes-Benz C-Class,2013,1080000.0,2013,5,2143,14.84,Kolkata,11
Petrol,84989,Manual,2,Maruti,Maruti Swift Dzire,2014,314000.0,2014,5,1197,22.41,Kolkata,10
Petrol,72017,Manual,2,Maruti,Maruti Wagon R,2014,269000.0,2014,5,998,20.51,Kolkata,10
Diesel,65002,Manual,1,Maruti,Maruti Ertiga,2015,521000.0,2015,7,1248,20.77,Kolkata,9
Petrol,85862,Manual,1,Maruti,Maruti Swift Dzire,2015,342000.0,2015,5,1197,22.41,Kolkata,9
Petrol,70000,Manual,2,Maruti,Maruti Alto,2011,150000.0,2011,5,796,19.7,Kolkata,13
Petrol,48005,Manual,1,Mahindra,Mahindra KUV 100 NXT,2017,407000.0,2017,6,1198,18.15,Kolkata,7
Petrol,8625,Manual,1,Hyundai,Hyundai Santro,2019,459999.99999999994,2019,5,1086,20.3,Kolkata,5
Petrol,10000,Manual,1,Tata,Tata Altroz,2020,725000.0,2020,5,1199,19.33,Kolkata,4
Diesel,67000,Manual,1,Skoda,Skoda Laura,2012,340000.0,2012,5,1968,20.0,Kolkata,12
Petrol,10000,Manual,1,Tata,Tata Altroz,2020,735000.0,2020,5,1199,19.33,Kolkata,4
Diesel,50000,Manual,1,Hyundai,Hyundai Creta,2018,1200000.0,2018,5,1582,19.67,Kolkata,6
Petrol,60000,Manual,3,Maruti,Maruti Zen Estilo,2011,145000.0,2011,5,998,19.0,Kolkata,13
Petrol,60000,Manual,3,Maruti,Maruti Celerio,2017,350000.0,2017,5,998,23.1,Kolkata,7
Diesel,34000,Automatic,1,Audi,Audi Q5,2014,1950000.0,2014,5,1968,14.16,Kolkata,10
Petrol,60000,Manual,1,Maruti,Maruti A-Star,2012,300000.0,2012,5,998,19.0,Kolkata,12
Diesel,152000,Manual,1,Toyota,Toyota Innova,2014,695000.0,2014,7,2494,12.99,Kolkata,10
Diesel,45000,Automatic,1,Land Rover,Land Rover Range Rover Sport,2014,5600000.0,2014,5,3993,12.65,Kolkata,10
Petrol,56766,Manual,3,Toyota,Toyota Corolla Altis,2013,399000.0,2013,5,1798,14.53,Kolkata,11
Diesel,7114,Automatic,1,Tata,Tata New Safari,2022,2109000.0,2022,6,1956,14.08,Kolkata,2
Diesel,25508,Automatic,1,Tata,Tata New Safari,2021,2000000.0,2021,6,1956,14.08,Kolkata,3
Petrol,39369,Manual,1,Maruti,Maruti Wagon R,2012,217000.0,2012,5,998,18.9,Kolkata,12
Diesel,96707,Manual,1,Mahindra,Mahindra XUV500,2018,886000.0,2018,7,2179,21.0,Kolkata,6
Petrol,50000,Manual,1,Hyundai,Hyundai i20 Active,2016,550000.0,2016,5,1197,17.19,Kolkata,8
Petrol,30345,Manual,1,Renault,Renault KWID,2019,327000.0,2019,5,799,22.25,Kolkata,5
Diesel,128232,Automatic,1,Toyota,Toyota Fortuner,2016,1775000.0,2016,7,2982,12.55,Kolkata,8
Petrol,54018,Manual,1,Honda,Honda WR-V,2017,487000.0,2017,5,1199,17.5,Kolkata,7
Diesel,32007,Manual,1,Hyundai,Hyundai Verna,2016,612000.0,2016,5,1582,23.9,Kolkata,8
Petrol,100000,Manual,1,Hyundai,Hyundai i10,2015,310000.0,2015,5,1086,19.81,Kolkata,9
Petrol,30000,Manual,2,Hyundai,Hyundai Santro Xing,2014,245000.00000000003,2014,5,1086,17.92,Kolkata,10
Diesel,66452,Automatic,1,Volvo,Volvo S60 Cross Country,2018,1980000.0,2018,5,2400,19.6,Kolkata,6
Diesel,38706,Automatic,1,Volvo,Volvo XC60,2021,4500000.0,2021,5,2400,11.2,Kolkata,3
Petrol,80000,Manual,1,Honda,Honda City,2018,650000.0,2018,5,1497,17.4,Kolkata,6
Petrol,60000,Manual,1,Hyundai,Hyundai Verna,2015,750000.0,2015,5,1591,17.01,Kolkata,9
Petrol,120000,Manual,1,Hyundai,Hyundai i20 Active,2016,500000.0,2016,5,1197,17.19,Kolkata,8
Diesel,150000,Manual,2,Chevrolet,Chevrolet Tavera,2012,720000.0,2012,1,2499,12.2,Kolkata,12
Diesel,19000,Manual,1,Honda,Honda City,2017,790000.0,2017,5,1498,26.0,Kolkata,7
Diesel,260000,Manual,1,Toyota,Toyota Innova,2012,645000.0,2012,7,2494,12.8,Kolkata,12
Petrol,71552,Manual,1,Honda,Honda City,2014,403000.0,2014,5,1497,17.4,Kolkata,10
Petrol,65039,Manual,2,Hyundai,Hyundai Grand i10,2015,301000.0,2015,5,1197,18.9,Kolkata,9
Petrol,73578,Manual,1,Renault,Renault KWID,2019,359000.0,2020,5,999,23.01,Kolkata,5
Petrol,27160,Automatic,1,Hyundai,Hyundai Santro,2021,511000.00000000006,2021,5,1086,20.3,Kolkata,3
Petrol,36000,Manual,1,Hyundai,Hyundai i20,2017,425000.0,2017,5,1197,18.6,Kolkata,7
Petrol,84367,Manual,1,Hyundai,Hyundai Grand i10,2014,277000.0,2014,5,1197,18.9,Kolkata,10
Petrol,32599,Manual,1,Maruti,Maruti Ertiga,2019,750000.0,2019,7,1462,19.01,Kolkata,5
Petrol,47530,Manual,1,Renault,Renault Duster,2017,551000.0,2017,5,1598,13.06,Kolkata,7
Petrol,35457,Manual,1,Honda,Honda Brio,2014,254000.0,2014,5,1198,19.4,Kolkata,10
Petrol,28134,Automatic,1,Kia,Kia Seltos,2020,1275000.0,2020,5,1497,14.0,Kolkata,4
Petrol,5000,Automatic,0,Mahindra,Mahindra XUV300,2022,1320000.0,2022,5,1197,16.5,Kolkata,2
Petrol,28000,Automatic,1,Hyundai,Hyundai i10,2011,270000.0,2011,5,1197,16.95,Kolkata,13
Diesel,20000,Automatic,1,Jeep,Jeep Compass Trailhawk,2023,2000000.0,2023,5,1998,19.0,Kolkata,1
Petrol,33582,Automatic,2,Land Rover,Land Rover Range Rover Velar,2020,7900000.0,2020,5,1997,15.8,Kolkata,4
Petrol,46005,Manual,1,Hyundai,Hyundai i10,2014,254999.99999999997,2014,5,1197,20.36,Kolkata,10
Diesel,2565,Automatic,1,MG,MG Gloster,2021,3450000.0,2021,6,1996,12.4,Kolkata,3
Petrol,28000,Automatic,1,Maruti,Maruti Swift,2018,535000.0,2018,5,1197,22.0,Kolkata,6
Petrol,32000,Automatic,1,Honda,Honda Jazz,2015,440000.00000000006,2015,5,1199,18.2,Kolkata,9
Petrol,45000,Manual,1,Maruti,Maruti Swift Dzire,2009,225000.0,2009,5,1298,17.5,Kolkata,15
Diesel,78565,Manual,1,Mahindra,Mahindra XUV500,2019,1295000.0,2019,7,2179,15.1,Kolkata,5
Petrol,10197,Automatic,1,MG,MG Hector,2022,1792000.0000000002,2022,5,1451,14.0,Kolkata,2
Petrol,60000,Manual,2,Hyundai,Hyundai EON,2014,180000.0,2014,5,814,21.1,Kolkata,10
Petrol,32844,Manual,1,Honda,Honda City,2017,602000.0,2018,5,1497,17.8,Kolkata,7
Cng,5198,Manual,1,Tata,Tata Tiago,2022,743000.0,2023,5,1199,26.49,Kolkata,2
Petrol,40000,Manual,1,Hyundai,Hyundai i20,2013,335000.0,2013,5,1197,18.5,Kolkata,11
Petrol,19355,Automatic,1,Skoda,Skoda Rapid,2019,750000.0,2019,5,1598,14.84,Kolkata,5
Petrol,60000,Manual,1,Maruti,Maruti Swift Dzire,2010,240000.0,2010,5,1298,17.5,Kolkata,14
Petrol,31197,Manual,1,Maruti,Maruti Wagon R,2019,474000.0,2019,5,998,21.79,Kolkata,5
Petrol,6651,Manual,1,Datsun,Datsun RediGO,2021,346000.0,2021,5,999,21.7,Kolkata,3
Petrol,60000,Manual,3,Chevrolet,Chevrolet Spark,2009,7000000.0,2009,5,995,18.0,Kolkata,15
Petrol,35000,Manual,1,Honda,Honda BR-V,2018,745000.0,2018,7,1497,15.4,Kolkata,6
Petrol,57000,Manual,1,Honda,Honda City,2013,335000.0,2013,5,1497,16.8,Kolkata,11
Petrol,50469,Automatic,1,Honda,Honda City,2016,550000.0,2016,5,1497,18.0,Kolkata,8
Petrol,32000,Manual,1,Maruti,Maruti Swift,2018,524000.0,2018,5,1197,22.0,Kolkata,6
Petrol,36000,Automatic,1,Toyota,Toyota Corolla Altis,2016,850000.0,2016,5,1798,14.28,Kolkata,8
Petrol,30000,Manual,1,Datsun,Datsun RediGO,2018,210000.0,2018,5,799,22.7,Kolkata,6
Diesel,68042,Automatic,1,Mahindra,Mahindra XUV500,2018,999000.0,2018,7,2179,16.0,Kolkata,6
