Fuel_Type,Kilometers_Driven,Transmission_Type,No_of_Owners,Manufactured_By,Car_Model,Car_Produced_Year,Car_Price,Registration_Year,No_of_Seats,Engine_CC,Mileage(kmpl),Location,Car_Age
4.0,1.4285714285714285e-05,0.0,3,29.0,264.0,2014,975000.0,2014,5,2494,19.16,4.0,10
4.0,4.169967891247237e-05,1.0,1,4.0,38.0,2017,266000.0,2017,5,799,22.7,4.0,7
4.0,0.00014084507042253522,0.0,1,26.0,229.0,2021,595000.0,2021,5,999,19.03,4.0,3
4.0,1.3971553916226562e-05,1.0,2,9.0,88.0,2011,223000.0,2012,5,1197,17.0,4.0,13
1.0,2e-05,0.0,2,0.0,7.0,2014,1200000.0,2014,5,1968,15.73,4.0,10
4.0,2.8067024053439613e-05,0.0,1,20.0,177.0,2018,425000.0,2018,5,1197,20.52,4.0,6
4.0,8.71383757406762e-05,0.0,2,9.0,79.0,2020,596000.0,2020,5,1086,20.3,4.0,4
4.0,3.2258064516129034e-05,1.0,1,26.0,228.0,2018,250000.0,2018,5,799,25.17,4.0,6
4.0,2.4387269845140836e-05,1.0,2,20.0,174.0,2011,221000.0,2011,5,1298,17.5,4.0,13
4.0,1.6651402880692698e-05,1.0,1,20.0,177.0,2010,208000.0,2010,5,998,18.9,4.0,14
4.0,1.5383432043688946e-05,1.0,1,20.0,173.0,2013,311000.0,2013,5,1197,18.6,4.0,11
4.0,0.0003763643206624012,1.0,1,26.0,228.0,2022,463999.99999999994,2022,5,799,22.3,4.0,2
4.0,6.25e-05,1.0,1,9.0,87.0,2011,204999.99999999997,2011,5,1086,19.81,4.0,13
1.0,0.00013466199838405601,0.0,1,28.0,246.0,2023,2175000.0,2023,5,1956,14.6,4.0,1
4.0,3.697404422095689e-05,0.0,1,20.0,151.0,2018,643000.0,2018,5,1197,21.4,4.0,6
1.0,3.322259136212625e-05,0.0,1,29.0,270.0,2021,3750000.0,2021,7,2755,15.04,4.0,3
4.0,0.00011111111111111112,1.0,1,20.0,177.0,2022,545000.0,2022,5,998,24.35,4.0,2
4.0,5.882352941176471e-05,1.0,1,9.0,88.0,2022,750000.0,2022,5,1197,21.0,4.0,2
1.0,2.032520325203252e-05,0.0,1,12.0,99.0,2021,1650000.0,2021,5,1956,17.1,4.0,3
4.0,2.857142857142857e-05,1.0,2,9.0,87.0,2009,225000.0,2009,5,1086,19.81,4.0,15
1.0,3.3333333333333335e-05,0.0,2,14.0,112.0,2020,5990000.0,2020,5,1999,19.0,4.0,4
4.0,1.8503441640145067e-05,1.0,1,20.0,150.0,2017,315000.0,2017,5,998,23.95,4.0,7
4.0,0.00015384615384615385,1.0,1,28.0,254.0,2021,799000.0,2021,5,1199,17.33,4.0,3
4.0,3.429472890016804e-05,1.0,1,20.0,157.0,2017,526000.0,2017,5,1373,20.73,4.0,7
4.0,3.128128128128128e-05,0.0,1,8.0,62.0,2016,675000.0,2016,5,1497,18.0,4.0,8
4.0,2.2650056625141562e-05,1.0,2,9.0,77.0,2019,612000.0,2019,5,1197,20.7,4.0,5
4.0,1.6666666666666667e-05,1.0,1,9.0,88.0,2010,189000.0,2010,5,1197,17.0,4.0,14
4.0,3.998560518213443e-05,0.0,1,9.0,72.0,2018,990000.0,2018,5,1591,14.8,4.0,6
4.0,2.1519722825970003e-05,1.0,1,20.0,173.0,2020,534000.0,2020,5,1197,22.38,4.0,4
4.0,2.2222222222222223e-05,1.0,1,9.0,72.0,2018,800000.0,2018,5,1591,13.0,4.0,6
4.0,3.166861956487317e-05,1.0,1,9.0,84.0,2020,983000.0,2020,5,1497,17.7,4.0,4
4.0,1.7855548611731094e-05,0.0,1,20.0,154.0,2014,281000.0,2014,5,998,23.1,4.0,10
4.0,9.995002498750625e-05,1.0,1,20.0,177.0,2021,535000.0,2021,5,998,21.79,4.0,3
4.0,2.4293661783640647e-05,1.0,1,9.0,76.0,2017,475000.0,2017,5,1197,18.9,4.0,7
1.0,5.605695386512697e-05,0.0,1,21.0,193.0,2020,5300000.0,2020,5,1950,16.1,4.0,4
4.0,0.0002631578947368421,1.0,1,29.0,280.0,2019,695000.0,2019,5,1496,17.1,4.0,5
4.0,2.9304888055327628e-05,1.0,1,20.0,177.0,2018,395000.0,2018,5,998,21.79,4.0,6
1.0,2e-05,1.0,2,9.0,88.0,2012,200000.0,2012,5,1396,21.9,4.0,12
4.0,2.0760670984886232e-05,1.0,1,8.0,62.0,2018,750000.0,2018,5,1497,17.4,4.0,6
1.0,5e-05,1.0,3,17.0,130.0,2019,975000.0,2019,8,1497,17.3,4.0,5
4.0,1.774402469968238e-05,1.0,1,20.0,174.0,2018,480000.0,2018,5,1197,19.0,4.0,6
4.0,1.6666666666666667e-05,1.0,1,20.0,174.0,2010,245000.00000000003,2010,5,1298,17.5,4.0,14
4.0,9.44733112895607e-05,1.0,1,20.0,151.0,2022,719000.0,2022,5,1197,21.01,4.0,2
4.0,2e-05,0.0,2,8.0,64.0,2012,375000.0,2012,5,1799,13.1,4.0,12
4.0,5.668291576918717e-05,1.0,1,9.0,72.0,2020,1214000.0,2020,5,1497,14.0,4.0,4
1.0,5e-05,1.0,1,28.0,259.0,2018,438999.99999999994,2018,5,1047,27.28,4.0,6
4.0,0.00010920607185759528,1.0,1,9.0,77.0,2021,753000.0,2021,5,1197,20.7,4.0,3
4.0,1.515633762257688e-05,1.0,2,8.0,58.0,2016,362000.0,2016,5,1198,18.0,4.0,8
1.0,1.5384615384615384e-05,1.0,1,27.0,239.0,2014,300000.0,2014,5,1598,20.5,4.0,10
4.0,0.00012594458438287153,1.0,2,4.0,38.0,2020,389000.0,2020,5,999,22.5,4.0,4
4.0,1e-05,1.0,4,9.0,80.0,2010,114999.99999999999,2010,5,1086,10.0,4.0,14
1.0,2.5e-05,0.0,1,1.0,14.0,2011,865000.0,2011,5,1995,16.07,4.0,13
4.0,1.6666666666666667e-05,1.0,2,5.0,42.0,2011,185000.0,2011,5,1368,14.6,4.0,13
1.0,5.035500276952515e-05,0.0,1,1.0,17.0,2019,3950000.0,2019,5,1995,20.37,4.0,5
4.0,0.0001350438892640108,0.0,1,12.0,102.0,2023,6250000.0,2023,5,1998,12.1,4.0,1
4.0,1.8895733343411056e-05,1.0,1,8.0,59.0,2016,620000.0,2016,7,1497,15.4,4.0,8
4.0,1.6666666666666667e-05,1.0,1,6.0,49.0,2015,350000.0,2015,5,1499,15.85,4.0,9
4.0,3.125e-05,1.0,1,9.0,76.0,2019,463999.99999999994,2019,5,1197,18.9,4.0,5
4.0,2.094723391776116e-05,1.0,2,8.0,65.0,2017,412000.0,2017,5,1199,18.7,4.0,7
4.0,9.330969487729775e-05,0.0,2,20.0,150.0,2019,375000.0,2019,5,998,23.95,4.0,5
1.0,2.4390243902439026e-05,1.0,1,8.0,62.0,2015,621000.0,2015,5,1498,25.1,4.0,9
4.0,5.675691015381123e-05,1.0,2,9.0,79.0,2020,443000.0,2020,5,1086,20.3,4.0,4
4.0,0.00010844810758052273,1.0,1,26.0,228.0,2021,422000.0,2021,5,999,21.74,4.0,3
4.0,1.4285714285714285e-05,1.0,1,8.0,68.0,2019,550000.0,2019,5,1199,17.5,4.0,5
4.0,9.50660709192889e-05,1.0,1,20.0,173.0,2019,545000.0,2019,5,1197,22.38,4.0,5
4.0,2e-05,1.0,2,9.0,84.0,2014,450000.0,2014,5,1591,17.1,4.0,10
0.0,5.023358617571708e-05,1.0,1,20.0,154.0,2022,597000.0,2022,5,998,35.6,4.0,2
4.0,1.1796487006169563e-05,1.0,2,20.0,173.0,2015,330000.0,2015,5,1197,22.38,4.0,9
4.0,0.00014285714285714287,0.0,2,8.0,60.0,2015,595000.0,2015,5,1198,16.5,4.0,9
4.0,2e-05,1.0,1,8.0,62.0,2017,500000.0,2017,5,1497,17.4,4.0,7
1.0,1.923076923076923e-05,0.0,1,0.0,4.0,2013,1075000.0,2013,5,1968,17.68,4.0,11
4.0,6.490556240669826e-05,1.0,1,28.0,254.0,2021,835000.0,2021,5,1199,17.33,4.0,3
4.0,2e-05,1.0,2,9.0,87.0,2009,175000.0,2009,5,1197,20.36,4.0,15
4.0,1.25e-05,1.0,1,7.0,0.0,1985,495000.0,1985,8,1817,12.8,4.0,39
4.0,1.7241379310344828e-05,1.0,1,8.0,62.0,2017,550000.0,2017,5,1497,17.4,4.0,7
4.0,7.142857142857143e-05,1.0,1,9.0,84.0,2021,1025000.0,2021,5,1497,17.7,4.0,3
4.0,1.25e-05,1.0,3,9.0,74.0,2014,350000.0,2014,5,1797,16.3,4.0,10
4.0,2.2222222222222223e-05,1.0,1,9.0,74.0,2017,775000.0,2017,5,1999,14.59,4.0,7
4.0,8.386728840283135e-06,1.0,1,20.0,174.0,2014,306000.0,2014,5,1197,22.41,4.0,10
4.0,1.0196382323551604e-05,1.0,1,20.0,151.0,2016,432000.0,2016,5,1197,21.4,4.0,8
1.0,2.4795437639474338e-05,0.0,1,21.0,190.0,2013,1080000.0,2013,5,2143,14.84,4.0,11
4.0,1.1766228570756215e-05,1.0,2,20.0,174.0,2014,314000.0,2014,5,1197,22.41,4.0,10
4.0,1.3885610342002582e-05,1.0,2,20.0,177.0,2014,269000.0,2014,5,998,20.51,4.0,10
1.0,1.5384142026399187e-05,1.0,1,20.0,159.0,2015,521000.0,2015,7,1248,20.77,4.0,9
4.0,1.1646595700076867e-05,1.0,1,20.0,174.0,2015,342000.0,2015,5,1197,22.41,4.0,9
4.0,1.4285714285714285e-05,1.0,2,20.0,148.0,2011,150000.0,2011,5,796,19.7,4.0,13
4.0,2.0831163420477035e-05,1.0,1,17.0,129.0,2017,407000.0,2017,6,1198,18.15,4.0,7
4.0,0.00011594202898550724,1.0,1,9.0,79.0,2019,459999.99999999994,2019,5,1086,20.3,4.0,5
4.0,0.0001,1.0,1,28.0,243.0,2020,725000.0,2020,5,1199,19.33,4.0,4
1.0,1.4925373134328359e-05,1.0,1,27.0,237.0,2012,340000.0,2012,5,1968,20.0,4.0,12
4.0,0.0001,1.0,1,28.0,243.0,2020,735000.0,2020,5,1199,19.33,4.0,4
1.0,2e-05,1.0,1,9.0,72.0,2018,1200000.0,2018,5,1582,19.67,4.0,6
4.0,1.6666666666666667e-05,1.0,3,20.0,181.0,2011,145000.0,2011,5,998,19.0,4.0,13
4.0,1.6666666666666667e-05,1.0,3,20.0,154.0,2017,350000.0,2017,5,998,23.1,4.0,7
1.0,2.9411764705882354e-05,0.0,1,0.0,9.0,2014,1950000.0,2014,5,1968,14.16,4.0,10
